ticker,secShortName,outstanding,totals
002799,环球印务,0.77,1.5
002800,天顺股份,0.35,0.75
002801,微光股份,0.29,1.18
002802,洪汇新材,0.39,1.08
002803,吉宏股份,0.46,1.16
002805,丰元股份,0.54,0.97
002806,华锋股份,0.58,1.37
002807,江阴银行,7.18,17.67
002808,苏州恒久,0.88,1.92
002809,红墙股份,0.61,1.26
002810,山东赫达,0.61,1.19
002811,亚泰国际,0.45,1.8
002812,创新股份,1.26,4.74
002813,路畅科技,0.3,1.2
002815,崇达技术,2.16,8.3
002816,和科达,0.57,1.0
002817,黄山胶囊,0.42,0.87
002818,富森美,0.9,4.45
002819,东方中科,0.44,1.13
002820,桂发祥,1.21,2.05
002821,凯莱英,1.21,2.3
002822,中装建设,3.06,6.0
002823,凯中精密,1.0,2.91
002824,和胜股份,0.74,1.84
002825,纳尔股份,0.41,1.4
002826,易明医药,1.32,1.9
002827,高争民爆,0.63,1.84
002828,贝肯能源,0.99,2.05
002829,星网宇达,0.62,1.6
002830,名雕股份,0.4,1.33
002831,裕同科技,1.19,4.0
002832,比音勒芬,0.79,1.81
002833,弘亚数控,0.54,1.35
002835,同为股份,0.85,2.16
002836,新宏泽,0.56,1.6
002837,英维克,0.68,2.15
002838,道恩股份,0.75,2.52
002839,张家港行,8.44,18.08
002840,华统股份,1.47,2.68
002841,视源股份,0.67,6.51
002842,翔鹭钨业,0.72,1.7
002843,泰嘉股份,0.84,1.42
002845,同兴达,0.62,2.03
002846,英联股份,0.5,1.95
002847,盐津铺子,0.36,1.24
002848,高斯贝尔,0.88,1.67
002849,威星智能,0.57,1.3
002850,科达利,0.93,2.1
002851,麦格米特,1.25,2.71
002852,道道全,1.25,2.89
002853,皮阿诺,0.58,1.55
002855,捷荣技术,0.83,2.4
002856,美芝股份,0.3,1.22
002857,三晖电气,0.49,1.28
002858,力盛赛车,0.62,1.26
002859,洁美科技,1.08,2.56
002860,星帅尔,0.47,1.14
002861,瀛通通讯,0.53,1.23
002862,实丰文化,0.31,0.8
002863,今飞凯达,1.86,3.77
002864,盘龙药业,0.22,0.87
002865,钧达股份,0.38,1.22
002866,传艺科技,0.81,2.44
002867,周大生,1.63,4.85
002868,绿康生化,0.38,1.2
002869,金溢科技,0.45,1.18
002870,香山股份,0.37,1.11
002871,伟隆股份,0.29,1.16
002872,天圣制药,2.11,3.18
002873,新天药业,0.65,1.17
002875,安奈儿,0.39,1.32
002876,三利谱,0.55,0.8
002877,智能自控,0.52,2.08
002878,元隆雅图,0.36,1.3
002879,长缆科技,1.27,1.93
002880,卫光生物,0.27,1.08
002881,美格智能,0.45,1.81
002882,金龙羽,0.83,4.25
002883,中设股份,0.31,0.87
002884,凌霄泵业,0.69,1.24
002885,京泉华,0.45,1.2
002886,沃特股份,0.5,1.18
002887,绿茵生态,0.51,1.6
002888,惠威科技,0.36,1.25
002889,东方嘉盛,0.37,1.38
002890,弘宇股份,0.48,0.67
002891,中宠股份,0.54,1.0
002892,科力尔,0.26,0.84
002893,华通热力,0.3,1.2
002895,川恒股份,0.89,4.07
002896,中大力德,0.34,0.8
002897,意华股份,0.43,1.71
002898,赛隆药业,0.4,1.6
002899,英派斯,0.3,1.2
002900,哈三联,0.79,3.17
002901,大博医疗,0.4,4.0
002902,铭普光磁,0.35,1.4
002903,宇环数控,0.38,1.5
002905,金逸影视,0.67,2.69
002906,华阳集团,0.73,4.73
002907,华森制药,0.4,4.0
002908,德生科技,0.33,1.33
002909,集泰股份,0.42,1.68
002910,庄园牧场,0.47,1.87
002911,佛燃股份,0.56,5.56
002912,中新赛克,0.27,1.07
002913,奥士康,0.36,1.44
002915,中欣氟材,0.28,1.12
002916,深南电路,0.7,2.8
002917,金奥博,0.28,1.13
002918,蒙娜丽莎,0.59,2.37
002919,名臣健康,0.2,0.81
002920,德赛西威,1.0,5.5
002921,联诚精密,0.2,0.8
002922,伊戈尔,0.33,1.32
002923,润都股份,0.3,1.2
002925,盈趣科技,0.75,4.55
002926,华西证券,5.25,26.25
002927,泰永长征,0.3,1.22
002928,华夏航空,0.41,4.0
002929,润建通信,0.55,2.21
002930,宏川智慧,0.61,2.43
002931,锋龙股份,0.22,0.89
002932,明德生物,0.17,0.67
002933,新兴装备,0.29,1.17
002935,天奥电子,0.27,1.07
002936,郑州银行,0.0,0.0
002937,兴瑞科技,0.0,0.0
002938,鹏鼎控股,0.0,0.0
300001,特锐德,8.68,9.98
300002,神州泰岳,14.07,19.61
300003,乐普医疗,14.07,17.82
300004,南风股份,4.46,4.98
300005,探路者,6.62,8.91
300006,莱美药业,5.86,8.12
300007,汉威科技,2.27,2.93
300008,天海防务,6.02,9.6
300009,安科生物,6.61,9.97
300010,立思辰,6.31,8.73
300011,鼎汉技术,4.48,5.59
300012,华测检测,15.05,16.58
300013,新宁物流,2.35,2.98
300014,亿纬锂能,8.19,8.55
300015,爱尔眼科,18.36,23.83
300016,北陆药业,3.81,4.89
300017,网宿科技,19.23,24.33
300018,中元股份,3.46,4.84
300019,硅宝科技,2.71,3.31
300020,银江股份,6.28,6.56
300021,大禹节水,6.48,7.97
300022,吉峰农机,3.21,3.8
300023,宝德股份,1.44,3.16
300024,机器人,15.14,15.6
300025,华星创业,3.89,4.29
300026,红日药业,23.94,30.11
300027,华谊兄弟,22.11,27.95
300028,金亚科技,3.44,3.44
300029,天龙光电,2.0,2.0
300030,阳普医疗,2.54,3.09
300031,宝通科技,2.57,3.97
300032,金龙机电,7.89,8.03
300033,同花顺,2.64,5.38
300034,钢研高纳,4.21,4.22
300035,中科电气,3.9,5.18
300036,超图软件,3.32,4.5
300037,新宙邦,2.44,3.79
300038,梅泰诺,4.1,11.72
300039,上海凯宝,10.62,10.71
300040,九洲电气,2.33,3.43
300041,回天新材,2.63,4.26
300042,朗科科技,1.12,1.34
300043,星辉娱乐,9.03,12.44
300044,赛为智能,4.68,7.79
